subject,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
Java,Easy,Who developed Java?,James Gosling,Dennis Ritchie,Bjarne Stroustrup,Guido van Rossum,James Gosling,Father of Java
Java,Easy,Which company originally developed Java?,Sun Microsystems,Microsoft,Google,IBM,Sun Microsystems,Java was created at Sun Microsystems
Java,Easy,What is the extension of Java source files?,.java,.class,.js,.py,.java,Java source code extension
Java,Easy,Which method is the entry point of a Java program?,main(),start(),run(),init(),main(),Program execution starts here
Java,Easy,Which keyword is used to create an object?,new,class,this,create,new,Creates objects
Java,Easy,Java is a ?,Programming Language,Database,Operating System,Browser,Programming Language,High-level language
Java,Easy,Which JVM stands for?,Java Virtual Machine,Java Variable Method,Java Vendor Machine,Java Visual Model,Java Virtual Machine,Executes bytecode
Java,Easy,Which JDK stands for?,Java Development Kit,Java Deployment Kit,Java Design Kit,Java Document Kit,Java Development Kit,Used for development
Java,Easy,Which JRE stands for?,Java Runtime Environment,Java Resource Engine,Java Run Engine,Java Runtime Editor,Java Runtime Environment,Used to run Java programs
Java,Easy,Java is which type of language?,Object Oriented,Procedural,Assembly,Machine,Object Oriented,OOP language
Java,Easy,Which keyword is used for inheritance?,extends,implements,inherits,super,extends,Class inheritance
Java,Easy,Which keyword is used to define a class?,class,Class,define,object,class,Creates class
Java,Easy,Which keyword is used to inherit interfaces?,implements,extends,inherit,interface,implements,Implements interface
Java,Easy,Which symbol ends a statement in Java?,;,.,:,#,;,Statement terminator
Java,Easy,Which data type stores whole numbers?,int,float,double,char,int,Integer values
Java,Easy,Which data type stores decimal numbers?,double,int,char,boolean,double,Floating-point values
Java,Easy,Which data type stores a single character?,char,String,int,double,char,Single character
Java,Easy,Which data type stores true or false?,boolean,int,char,float,boolean,Logical values
Java,Easy,What is default value of boolean?,false,true,0,null,false,Default boolean value
Java,Easy,Which keyword is used for conditional statements?,if,for,while,switch,if,Decision making
Java,Easy,Which loop repeats while condition is true?,while,if,switch,break,while,Conditional loop
Java,Easy,Which loop is guaranteed to execute at least once?,do-while,while,for,foreach,do-while,Condition checked after execution
Java,Easy,Which keyword exits a loop?,break,continue,stop,exit,break,Terminates loop
Java,Easy,Which keyword skips current iteration?,continue,break,return,stop,continue,Moves to next iteration
Java,Easy,Which keyword returns value from method?,return,break,continue,yield,return,Method return statement 
Java,Easy,Which class is the parent of all classes in Java?,Object,String,Class,System,Object,Root class of Java hierarchy
Java,Easy,Which package is imported automatically?,java.lang,java.util,java.io,java.net,java.lang,Default imported package
Java,Easy,What is used to print output in Java?,System.out.println(),print(),echo(),cout,System.out.println(),Standard output statement
Java,Easy,Which keyword refers to current object?,this,self,current,super,this,Reference to current object
Java,Easy,Which keyword refers to parent class?,super,parent,base,this,super,Reference to superclass
