subject,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
AI & ML,Easy,What does AI stand for?,Artificial Intelligence,Automated Information,Advanced Internet,Artificial Integration,Artificial Intelligence,AI enables machines to mimic human intelligence
AI & ML,Easy,What does ML stand for?,Machine Learning,Machine Logic,Modern Learning,Memory Learning,Machine Learning,Subset of AI
AI & ML,Easy,Which field focuses on enabling machines to learn from data?,Machine Learning,Networking,DBMS,Operating System,Machine Learning,Uses data to improve performance
AI & ML,Easy,Who is known as the father of AI?,John McCarthy,Alan Turing,Dennis Ritchie,James Gosling,John McCarthy,Coined the term Artificial Intelligence
AI & ML,Easy,What is data in Machine Learning?,Information used for training,Computer hardware,Operating system,Network cable,Information used for training,ML models learn from data
AI & ML,Easy,What is a dataset?,Collection of data,Programming language,Database server,AI algorithm,Collection of data,Used for training and testing
AI & ML,Easy,Which language is most commonly used in AI & ML?,Python,HTML,CSS,SQL,Python,Rich ML libraries
AI & ML,Easy,Which library is popular for numerical computing in Python?,NumPy,Django,Bootstrap,Flask,NumPy,Provides array operations
AI & ML,Easy,Which library is commonly used for data analysis?,Pandas,NumPy,TensorFlow,Keras,Pandas,Works with DataFrames
AI & ML,Easy,Which library is widely used for machine learning?,Scikit-learn,Bootstrap,Django,OpenCV,Scikit-learn,Popular ML library
AI & ML,Easy,What is a feature in ML?,Input variable,Output result,Algorithm,Database table,Input variable,Used to make predictions
AI & ML,Easy,What is a label?,Target output,Input feature,Database key,Model parameter,Target output,Expected result
AI & ML,Easy,What is Supervised Learning?,Learning with labeled data,Learning without data,Random learning,Rule-based learning,Learning with labeled data,Uses known outputs
AI & ML,Easy,What is Unsupervised Learning?,Learning without labels,Learning with labels,Manual learning,Online learning,Learning without labels,Finds hidden patterns
AI & ML,Easy,What is Reinforcement Learning?,Learning through rewards and penalties,Learning with labels,Learning without data,Learning from databases,Learning through rewards and penalties,Used in robotics and games
AI & ML,Easy,Which algorithm is used for classification?,Decision Tree,K-Means,PCA,Apriori,Decision Tree,Predicts categories
AI & ML,Easy,Which algorithm is used for clustering?,K-Means,Linear Regression,Logistic Regression,Decision Tree,K-Means,Groups similar data
AI & ML,Easy,What is a model?,Learned representation from data,Database table,Programming language,Hardware component,Learned representation from data,Used for prediction
AI & ML,Easy,What is training in ML?,Teaching model using data,Testing software,Installing program,Collecting hardware,Teaching model using data,Model learns patterns
AI & ML,Easy,What is testing in ML?,Evaluating trained model,Training model,Creating dataset,Cleaning data,Evaluating trained model,Measures performance
AI & ML,Easy,What is prediction?,Output generated by model,Input feature,Training data,Database query,Output generated by model,Result of inference
AI & ML,Easy,What is accuracy?,Percentage of correct predictions,Training speed,Memory usage,Dataset size,Percentage of correct predictions,Common evaluation metric
AI & ML,Easy,What is Deep Learning?,Subset of ML using neural networks,Database management,System programming,Networking,Subset of ML using neural networks,Uses multiple layers
AI & ML,Easy,What is a Neural Network?,Model inspired by human brain,Database structure,Programming language,Operating system,Model inspired by human brain,Core of deep learning
AI & ML,Easy,What is TensorFlow?,Machine learning framework,Database system,Programming language,Web browser,Machine learning framework,Developed by Google
AI & ML,Easy,Who developed TensorFlow?,Google,Microsoft,IBM,Amazon,Google,Popular deep learning framework
AI & ML,Easy,What is Keras?,Deep learning API,Database system,Programming language,Web framework,Deep learning API,Runs on TensorFlow
AI & ML,Easy,What is OpenCV used for?,Computer Vision,Database Management,Web Development,Networking,Computer Vision,Image and video processing
AI & ML,Easy,What is NLP?,Natural Language Processing,Neural Learning Program,Network Logic Protocol,Natural Logic Process,Natural Language Processing,Helps computers understand language
AI & ML,Easy,Which AI field deals with text and speech?,NLP,Computer Vision,Robotics,Cyber Security,NLP,Processes human language
AI & ML,Easy,What is Computer Vision?,Teaching computers to understand images,Database optimization,Network communication,System programming,Teaching computers to understand images,Image recognition field
AI & ML,Easy,What is Robotics?,AI used in robots,Database management,Cloud computing,Web development,AI used in robots,Combines AI and hardware
AI & ML,Easy,What is an Algorithm?,Step-by-step procedure,Programming language,Database,Hardware device,Step-by-step procedure,Solution method
