subject,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
Operating System,Easy,What is an Operating System?,System software,Application software,Compiler,Database,System software,Manages computer resources
Operating System,Easy,Which OS is open source?,Linux,Windows,MS Office,Oracle,Linux,Popular open-source OS
Operating System,Easy,Which OS is developed by Microsoft?,Windows,Linux,Ubuntu,Android,Windows,Microsoft operating system
Operating System,Easy,What is the primary function of an OS?,Resource Management,Web Browsing,Programming,Database Storage,Resource Management,Manages hardware and software
Operating System,Easy,Which of these is not an OS?,MS Word,Windows,Linux,macOS,MS Word,It is an application
Operating System,Easy,What is a Process?,Program in execution,Stored file,Compiler,CPU register,Program in execution,Basic unit of execution
Operating System,Easy,What is CPU scheduling?,Selecting process for execution,Formatting disk,Creating files,Managing printers,Selecting process for execution,Allocates CPU time
Operating System,Easy,What is a Thread?,Lightweight process,Heavy process,Program file,CPU register,Lightweight process,Smallest execution unit
Operating System,Easy,Which memory is fastest?,Cache,RAM,Hard Disk,SSD,Cache,Closest to CPU
Operating System,Easy,What does RAM stand for?,Random Access Memory,Read Access Memory,Rapid Access Memory,Random Allocation Memory,Random Access Memory,Primary memory
Operating System,Easy,What is ROM?,Read Only Memory,Random Only Memory,Read Open Memory,Rapid Output Memory,Read Only Memory,Non-volatile memory
Operating System,Easy,Which memory is volatile?,RAM,ROM,Hard Disk,SSD,RAM,Loses data when power is off
Operating System,Easy,What is a file system?,Method of organizing files,Programming language,Database system,Compiler,Method of organizing files,Manages storage
Operating System,Easy,Which device stores data permanently?,Hard Disk,RAM,Cache,Register,Hard Disk,Secondary storage
Operating System,Easy,What is Booting?,Starting the computer,Shutting down,Formatting disk,Installing software,Starting the computer,Loads OS into memory
Operating System,Easy,Which program loads OS during startup?,Bootloader,Compiler,Assembler,Editor,Bootloader,Starts operating system
Operating System,Easy,What is Multiprogramming?,Multiple programs in memory,Multiple CPUs,Multiple users,Multiple files,Multiple programs in memory,Improves CPU utilization
Operating System,Easy,What is Multitasking?,Running multiple tasks simultaneously,Multiple CPUs,Multiple users,Multiple files,Running multiple tasks simultaneously,Common OS feature
