subject,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
Python,Easy,Who developed Python?,Guido van Rossum,Dennis Ritchie,James Gosling,Bjarne Stroustrup,Guido van Rossum,Creator of Python
Python,Easy,In which year was Python released?,1991,1985,1995,2000,1991,First public release
Python,Easy,Python is a ?,Programming Language,Database,Operating System,Compiler,Programming Language,High-level language
Python,Easy,Which symbol is used for comments in Python?,#,//,/*,%,#,Single-line comment
Python,Easy,Which keyword is used to define a function?,def,function,func,define,def,Function declaration
Python,Easy,Which keyword is used to create a class?,class,Class,define,new,class,Class declaration
Python,Easy,What is the correct file extension for Python files?,.py,.python,.pt,.pyt,.py,Python source file
Python,Easy,Which function displays output?,print(),display(),echo(),show(),print(),Standard output function
Python,Easy,Which function takes user input?,input(),scan(),read(),get(),input(),Reads input from user
Python,Easy,Which data type stores integers?,int,float,str,bool,int,Stores whole numbers
Python,Easy,Which data type stores decimal numbers?,float,int,str,list,float,Stores floating-point numbers
Python,Easy,Which data type stores text?,str,int,float,bool,str,String data type
Python,Easy,Which data type stores True or False?,bool,int,float,str,bool,Boolean type
Python,Easy,What is the output type of input()?,str,int,float,bool,str,Returns string by default
Python,Easy,Which operator is used for exponentiation?,**,^,%,//,**,Power operator
Python,Easy,Which operator performs integer division?,//,/,% ,**,//,Returns integer quotient
Python,Easy,What is a list?,Ordered mutable collection,Immutable collection,Function,Object,Ordered mutable collection,Can be modified
Python,Easy,Which brackets define a list?,[],(),{},<>,[],List syntax
Python,Easy,Which brackets define a tuple?,(),[],{},<>,(),Tuple syntax
Python,Easy,Which brackets define a dictionary?,{},[],(),<>,{},Dictionary syntax
Python,Easy,Which method adds an item to a list?,append(),add(),insertitem(),push(),append(),Adds element at end
Python,Easy,Which keyword is used for conditional statements?,if,for,while,switch,if,Decision making
Python,Easy,Which loop iterates over a sequence?,for,while,do-while,repeat,for,Sequence iteration
Python,Easy,Which loop runs while condition is true?,while,for,loop,repeat,while,Conditional loop
Python,Easy,Which keyword exits a loop?,break,continue,exit,stop,break,Terminates loop
Python,Easy,Which keyword skips the current loop iteration?,continue,break,pass,skip,continue,Moves to next iteration
Python,Easy,Which keyword does nothing and acts as a placeholder?,pass,break,continue,return,pass,Used for empty blocks
Python,Easy,Which function returns the length of a list?,len(),length(),count(),size(),len(),Built-in function
Python,Easy,Which method removes an item from a list?,remove(),delete(),discard(),erase(),remove(),Removes specified value
Python,Easy,Which method removes the last item from a list?,pop(),remove(),delete(),clear(),pop(),Removes and returns last element
