subject,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation

Computer Networks,Easy,What does LAN stand for?,Local Area Network,Large Area Network,Long Area Node,Light Access Network,Local Area Network,LAN connects devices in a small area
Computer Networks,Easy,Which device connects networks?,Router,Monitor,Keyboard,Printer,Router,Router connects different networks
Computer Networks,Easy,What is IP?,Internet Protocol,Internal Program,Internet Process,Input Protocol,Internet Protocol,IP is used for addressing
Computer Networks,Easy,Which is a networking device?,Switch,CPU,RAM,Hard Disk,Switch,Switch connects devices in LAN
Computer Networks,Easy,What is WAN?,Wide Area Network,Wireless Access Node,Web Area Node,World Access Network,Wide Area Network,WAN covers large geographical area
Computer Networks,Easy,Which cable is used in LAN?,Ethernet Cable,HDMI,USB,VGA,Ethernet Cable,Used for wired LAN connection
Computer Networks,Easy,What is HTTP?,Web protocol,Hardware tool,Software app,Network cable,Web protocol,HTTP is used for web communication
Computer Networks,Easy,What does DNS do?,Converts domain to IP,Deletes files,Saves data,Encrypts files,Converts domain to IP,It translates domain names
Computer Networks,Easy,Which is a browser?,Chrome,Excel,Word,Paint,Chrome,Browser is used to access internet
Computer Networks,Easy,What is modem?,Device for internet connection,Storage device,Input device,Output device,Device for internet connection,Modem connects to ISP
Computer Networks,Easy,Full form of Wi-Fi?,Wireless Fidelity,Wide Fidelity,Web Fidelity,Wireless File,Wireless Fidelity,Wi-Fi is wireless networking
Computer Networks,Easy,What is topology?,Network layout,Software type,Hardware brand,Programming language,Network layout,Topology defines structure
Computer Networks,Easy,Which is network topology?,Star,Batch,Loop Code,Stack,Star,Star is a common topology
Computer Networks,Easy,What is email used for?,Sending messages,Playing games,Editing videos,Coding,Sending messages,Email is communication tool
Computer Networks,Easy,Which device forwards packets?,Router,Mouse,Keyboard,Speaker,Router,Router forwards packets
Computer Networks,Easy,What is TCP?,Transmission Control Protocol,Transfer Copy Program,Total Control Process,Technical Control Protocol,Transmission Control Protocol,TCP ensures reliable communication
Computer Networks,Easy,What is a website?,Collection of web pages,Software,Hardware,Network device,Collection of web pages,Website contains pages
Computer Networks,Easy,What is ISP?,Internet Service Provider,Internal System Program,Internet Speed Protocol,Input Service Provider,Internet Service Provider,ISP gives internet access
Computer Networks,Easy,Which protocol is used for email?,SMTP,HTTP,FTP,DNS,SMTP,SMTP sends emails
Computer Networks,Easy,What is bandwidth?,Data transfer rate,Computer speed,Memory size,CPU speed,Data transfer rate,Bandwidth measures speed
Computer Networks,Easy,What is FTP?,File Transfer Protocol,Fast Transfer Process,File Text Program,Fixed Transfer Protocol,File Transfer Protocol,FTP transfers files
Computer Networks,Easy,Which device stores MAC address table?,Switch,Router,Modem,Hub,Switch,Switch uses MAC table
Computer Networks,Easy,What is MAC address?,Device physical address,IP address,Network speed,Software ID,Device physical address,MAC is unique hardware address
Computer Networks,Easy,What is packet?,Small data unit,Large file,Software,Hardware,Small data unit,Data is sent in packets
Computer Networks,Easy,What is cloud computing?,Internet-based computing,Offline computing,Hardware repair,Local storage,Internet-based computing,Cloud uses internet servers
Computer Networks,Easy,What is ping used for?,Check connectivity,Delete files,Install apps,Edit videos,Check connectivity,Ping tests network connection
Computer Networks,Easy,Which is a protocol?,TCP,CPU,RAM,Monitor,TCP,TCP is a network protocol
Computer Networks,Easy,What is a firewall?,Security system,Hardware cable,Router type,Printer,Security system,Firewall protects network
Computer Networks,Easy,What is internet?,Global network,Local computer,Software tool,Operating system,Global network,Internet connects worldwide devices
Computer Networks,Easy,Which layer sends data?,Application layer,Physical layer only,Random layer,User layer,Application layer,It sends data from apps
Computer Networks,Easy,What is node?,Device in network,Software,Game,File,Device in network,Node is any connected device
Computer Networks,Easy,What is router used for?,Direct data traffic,Play music,Store files,Print documents,Direct data traffic,Router directs packets
Computer Networks,Easy,What is latency?,Delay in data transfer,Speed increase,File size,Memory type,Delay in data transfer,Latency is network delay
Computer Networks,Easy,What is HTTPs?,Secure HTTP,Hardware protocol,High Transfer Process,Host Transfer Protocol,Secure HTTP,HTTPS is secure version
Computer Networks,Easy,What is LAN speed generally?,High speed,Very slow,Zero speed,Random speed,High speed,LAN is fast network
Computer Networks,Easy,What is a hub?,Basic network device,Software,Game engine,Database,Basic network device,Hub connects multiple devices
Computer Networks,Easy,What is IP address?,Device identifier,File type,Software name,Game ID,Device identifier,IP identifies device
