subject,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
DBMS,Easy,What does DBMS stand for?,Database Management System,Data Backup Management System,Database Machine System,Data Management Server,Database Management System,DBMS manages databases
DBMS,Easy,Which language is commonly used with DBMS?,Java,SQL,C++,Python,SQL,SQL is the standard database language
DBMS,Easy,What is a database?,Collection of related data,Operating System,Programming Language,Compiler,Collection of related data,A database stores organized data
DBMS,Easy,Which command retrieves data?,UPDATE,DELETE,SELECT,INSERT,SELECT,SELECT fetches records
DBMS,Easy,Which command inserts data?,ALTER,INSERT,DROP,SELECT,INSERT,INSERT adds rows
DBMS,Easy,What is a row in DBMS called?,Attribute,Tuple,Relation,Schema,Tuple,A row is called a tuple
DBMS,Easy,What is a column called?,Attribute,Tuple,Database,View,Attribute,A column is an attribute
DBMS,Easy,Which key uniquely identifies a row?,Foreign Key,Primary Key,Candidate Key,Alternate Key,Primary Key,Primary key uniquely identifies records
DBMS,Easy,Which key connects two tables?,Primary Key,Composite Key,Foreign Key,Super Key,Foreign Key,Foreign key creates relationships
DBMS,Easy,Which command deletes all rows?,DELETE,DROP,SELECT,CREATE,DELETE,DELETE removes records
DBMS,Easy,Which command changes table structure?,ALTER,SELECT,DELETE,UPDATE,ALTER,ALTER modifies schema
DBMS,Easy,What is SQL?,Structured Query Language,System Query Logic,Simple Query Language,Standard Query Logic,Structured Query Language,SQL is used for database operations
DBMS,Easy,Which SQL clause filters rows?,ORDER BY,GROUP BY,WHERE,HAVING,WHERE,WHERE filters records
DBMS,Easy,Which clause sorts records?,ORDER BY,HAVING,GROUP BY,WHERE,ORDER BY,ORDER BY sorts data
DBMS,Easy,What is normalization?,Reducing redundancy,Increasing redundancy,Deleting data,Creating backups,Reducing redundancy,Normalization improves database design
DBMS,Easy,Which normal form removes repeating groups?,1NF,2NF,3NF,BCNF,1NF,1NF removes repeating groups
DBMS,Easy,What is a relation?,Table,Row,Column,Database,Table,Relation means table
DBMS,Easy,What is DBMS used for?,Managing Data,Playing Games,Browsing Internet,Compiling Code,Managing Data,DBMS organizes and manages data
DBMS,Easy,Which SQL command creates a table?,CREATE,ALTER,UPDATE,DROP,CREATE,CREATE makes new tables
DBMS,Easy,Which command removes a table?,DROP,DELETE,TRUNCATE,REMOVE,DROP,DROP removes table completely
DBMS,Easy,What is a schema?,Database structure,Database row,Database key,Database index,Database structure,Schema defines organization
