category,difficulty,question,option1,option2,option3,option4,correct_answer,explanation
AI & ML,Easy,What does AI stand for?,Artificial Intelligence,Automated Information,Advanced Internet,Artificial Integration,Artificial Intelligence,AI enables machines to mimic human intelligence
AI & ML,Easy,What does ML stand for?,Machine Learning,Machine Logic,Modern Learning,Memory Learning,Machine Learning,Subset of AI
AI & ML,Easy,Which field focuses on enabling machines to learn from data?,Machine Learning,Networking,DBMS,Operating System,Machine Learning,Uses data to improve performance
AI & ML,Easy,Who is known as the father of AI?,John McCarthy,Alan Turing,Dennis Ritchie,James Gosling,John McCarthy,Coined the term Artificial Intelligence
AI & ML,Easy,What is data in Machine Learning?,Information used for training,Computer hardware,Operating system,Network cable,Information used for training,ML models learn from data
AI & ML,Easy,What is a dataset?,Collection of data,Programming language,Database server,AI algorithm,Collection of data,Used for training and testing
AI & ML,Easy,Which language is most commonly used in AI & ML?,Python,HTML,CSS,SQL,Python,Rich ML libraries
AI & ML,Easy,Which library is popular for numerical computing in Python?,NumPy,Django,Bootstrap,Flask,NumPy,Provides array operations
AI & ML,Easy,Which library is commonly used for data analysis?,Pandas,NumPy,TensorFlow,Keras,Pandas,Works with DataFrames
AI & ML,Easy,Which library is widely used for machine learning?,Scikit-learn,Bootstrap,Django,OpenCV,Scikit-learn,Popular ML library
AI & ML,Easy,What is a feature in ML?,Input variable,Output result,Algorithm,Database table,Input variable,Used to make predictions
AI & ML,Easy,What is a label?,Target output,Input feature,Database key,Model parameter,Target output,Expected result
AI & ML,Easy,What is Supervised Learning?,Learning with labeled data,Learning without data,Random learning,Rule-based learning,Learning with labeled data,Uses known outputs
AI & ML,Easy,What is Unsupervised Learning?,Learning without labels,Learning with labels,Manual learning,Online learning,Learning without labels,Finds hidden patterns
AI & ML,Easy,What is Reinforcement Learning?,Learning through rewards and penalties,Learning with labels,Learning without data,Learning from databases,Learning through rewards and penalties,Used in robotics and games
AI & ML,Easy,Which algorithm is used for classification?,Decision Tree,K-Means,PCA,Apriori,Decision Tree,Predicts categories
AI & ML,Easy,Which algorithm is used for clustering?,K-Means,Linear Regression,Logistic Regression,Decision Tree,K-Means,Groups similar data
AI & ML,Easy,What is a model?,Learned representation from data,Database table,Programming language,Hardware component,Learned representation from data,Used for prediction
