subject,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
DSA,Easy,What does DSA stand for?,Data Structures and Algorithms,Database Systems and Applications,Data Science Analysis,Distributed System Architecture,Data Structures and Algorithms,Fundamental CS topic
DSA,Easy,Which data structure follows FIFO?,Queue,Stack,Tree,Graph,Queue,First In First Out
DSA,Easy,Which data structure follows LIFO?,Stack,Queue,Array,Linked List,Stack,Last In First Out
DSA,Easy,Which data structure stores elements in contiguous memory?,Array,Linked List,Tree,Graph,Array,Stored sequentially
DSA,Easy,What is the index of first element in an array?,0,1,-1,2,0,Array indexing starts at 0
DSA,Easy,Which operation adds element to stack?,Push,Pop,Insert,Enqueue,Push,Push adds item
DSA,Easy,Which operation removes element from stack?,Pop,Push,Delete,Enqueue,Pop,Pop removes top element
DSA,Easy,Which operation inserts element into queue?,Enqueue,Push,Pop,Delete,Enqueue,Adds at rear
DSA,Easy,Which operation removes element from queue?,Dequeue,Pop,Delete,Push,Dequeue,Removes from front
DSA,Easy,Which data structure uses nodes and pointers?,Linked List,Array,Queue,Stack,Linked List,Nodes are linked
DSA,Easy,What is the first node of linked list called?,Head,Tail,Root,Leaf,Head,Starting node
DSA,Easy,What is the last node of linked list called?,Tail,Head,Root,Leaf,Tail,Ending node
DSA,Easy,Which traversal visits Root Left Right?,Preorder,Inorder,Postorder,Levelorder,Preorder,Root first
DSA,Easy,Which traversal visits Left Root Right?,Inorder,Preorder,Postorder,BFS,Inorder,Common BST traversal
DSA,Easy,Which traversal visits Left Right Root?,Postorder,Inorder,Preorder,DFS,Postorder,Root visited last
DSA,Easy,What is the top element of stack called?,Top,Head,Tail,Root,Top,Stack pointer
DSA,Easy,Which data structure represents hierarchical data?,Tree,Array,Queue,Stack,Tree,Parent-child relation
DSA,Easy,What is the topmost node in a tree called?,Root,Leaf,Parent,Child,Root,Starting node
DSA,Easy,Node without children is called?,Leaf,Root,Parent,Edge,Leaf,Terminal node
DSA,Easy,Which data structure represents networks?,Graph,Tree,Queue,Stack,Graph,Vertices and edges
DSA,Easy,What connects vertices in graph?,Edge,Node,Root,Leaf,Edge,Graph connection
